model,gpu_name,num_layers,hidden_size,batch_size,sequence_length,dtype,use_cache,theoretical_kv_bytes,theoretical_kv_mib,actual_past_key_values_bytes,actual_past_key_values_mib,theoretical_actual_ratio,torch_cuda_max_memory_allocated_bytes,torch_cuda_max_memory_allocated_mib,torch_cuda_max_memory_reserved_bytes,torch_cuda_max_memory_reserved_mib,elapsed_sec,success,error_type,error_message
opt-350m,NVIDIA GeForce RTX 5060,24,1024,1,128,float16,True,12582912,12.000000,12582912,12.000000,1.000000,698497024,666.138672,717225984,684.000000,0.177770,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,1,256,float16,True,25165824,24.000000,25165824,24.000000,1.000000,724082688,690.539062,742391808,708.000000,0.007136,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,1,512,float16,True,50331648,48.000000,50331648,48.000000,1.000000,776204288,740.246094,817889280,780.000000,0.012338,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,1,1024,float16,True,100663296,96.000000,100663296,96.000000,1.000000,877596672,836.941406,918552576,876.000000,0.022106,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,1,2048,float16,True,201326592,192.000000,201326592,192.000000,1.000000,1082281984,1032.144531,1155530752,1102.000000,0.045781,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,2,128,float16,True,25165824,24.000000,25165824,24.000000,1.000000,724082688,690.539062,742391808,708.000000,0.009508,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,2,256,float16,True,50331648,48.000000,50331648,48.000000,1.000000,776204288,740.246094,817889280,780.000000,0.011976,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,2,512,float16,True,100663296,96.000000,100663296,96.000000,1.000000,877596672,836.941406,918552576,876.000000,0.021226,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,2,1024,float16,True,201326592,192.000000,201326592,192.000000,1.000000,1082281984,1032.144531,1155530752,1102.000000,0.043411,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,2,2048,float16,True,402653184,384.000000,402653184,384.000000,1.000000,1491652608,1422.550781,1654652928,1578.000000,0.089995,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,4,128,float16,True,50331648,48.000000,50331648,48.000000,1.000000,776204288,740.246094,817889280,780.000000,0.012039,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,4,256,float16,True,100663296,96.000000,100663296,96.000000,1.000000,877596672,836.941406,918552576,876.000000,0.020787,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,4,512,float16,True,201326592,192.000000,201326592,192.000000,1.000000,1082281984,1032.144531,1155530752,1102.000000,0.041321,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,4,1024,float16,True,402653184,384.000000,402653184,384.000000,1.000000,1491652608,1422.550781,1654652928,1578.000000,0.084612,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,4,2048,float16,True,805306368,768.000000,805306368,768.000000,1.000000,2310918144,2203.863281,2589982720,2470.000000,0.187731,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,1,128,float16,False,12582912,12.000000,0,0.000000,,685914112,654.138672,704643072,672.000000,0.006987,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,1,512,float16,False,50331648,48.000000,0,0.000000,,725872640,692.246094,769654784,734.000000,0.012347,True,,
opt-350m,NVIDIA GeForce RTX 5060,24,1024,1,1024,float16,False,100663296,96.000000,0,0.000000,,776933376,740.941406,834666496,796.000000,0.022098,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,1,128,float16,True,25165824,24.000000,25165824,24.000000,1.000000,2679646208,2555.509766,2891972608,2758.000000,0.011528,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,1,256,float16,True,50331648,48.000000,50331648,48.000000,1.000000,2718208000,2592.285156,2933915648,2798.000000,0.019995,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,1,512,float16,True,100663296,96.000000,100663296,96.000000,1.000000,2796281856,2666.742188,2923429888,2788.000000,0.037468,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,1,1024,float16,True,201326592,192.000000,201326592,192.000000,1.000000,2949578752,2812.937500,3021996032,2882.000000,0.074257,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,1,2048,float16,True,402653184,384.000000,402653184,384.000000,1.000000,3258073088,3107.140625,3598712832,3432.000000,0.154311,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,2,128,float16,True,50331648,48.000000,50331648,48.000000,1.000000,2718208000,2592.285156,2933915648,2798.000000,0.019935,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,2,256,float16,True,100663296,96.000000,100663296,96.000000,1.000000,2796281856,2666.742188,2923429888,2788.000000,0.037031,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,2,512,float16,True,201326592,192.000000,201326592,192.000000,1.000000,2949578752,2812.937500,3021996032,2882.000000,0.073057,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,2,1024,float16,True,402653184,384.000000,402653184,384.000000,1.000000,3258073088,3107.140625,3598712832,3432.000000,0.148934,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,2,2048,float16,True,805306368,768.000000,805306368,768.000000,1.000000,3875061760,3695.546875,4353687552,4152.000000,0.318104,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,4,128,float16,True,100663296,96.000000,100663296,96.000000,1.000000,2796281856,2666.742188,2923429888,2788.000000,0.037262,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,4,256,float16,True,201326592,192.000000,201326592,192.000000,1.000000,2949578752,2812.937500,3021996032,2882.000000,0.072318,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,4,512,float16,True,402653184,384.000000,402653184,384.000000,1.000000,3258073088,3107.140625,3598712832,3432.000000,0.146417,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,4,1024,float16,True,805306368,768.000000,805306368,768.000000,1.000000,3875061760,3695.546875,4353687552,4152.000000,0.308874,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,4,2048,float16,True,1610612736,1536.000000,1610612736,1536.000000,1.000000,5109563392,4872.859375,5855248384,5584.000000,0.655960,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,1,128,float16,False,25165824,24.000000,0,0.000000,,2654480384,2531.509766,2868903936,2736.000000,0.011520,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,1,512,float16,False,100663296,96.000000,0,0.000000,,2695618560,2570.742188,2923429888,2788.000000,0.037499,True,,
opt-1.3b,NVIDIA GeForce RTX 5060,24,2048,1,1024,float16,False,201326592,192.000000,0,0.000000,,2748252160,2620.937500,2988441600,2850.000000,0.075123,True,,
