gpu,model,model_size,sequence_length,mode,ppl,peak_vram_mib,elapsed_s,success,status,oom_point,log,vram_csv,quantizer
RTX 5060 8GB,OPT-350M,350m,128,original_fp16,53.7500,909,22.916,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq128_original_fp16.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq128_original_fp16_vram.csv,
RTX 5060 8GB,OPT-350M,350m,128,oaken,53.9688,909,54.929,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq128_oaken.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq128_oaken_vram.csv,quantizer/oaken/opt-350m.json
RTX 5060 8GB,OPT-350M,350m,256,original_fp16,39.8750,967,15.850,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq256_original_fp16.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq256_original_fp16_vram.csv,
RTX 5060 8GB,OPT-350M,350m,256,oaken,40.0312,973,31.992,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq256_oaken.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq256_oaken_vram.csv,quantizer/oaken/opt-350m.json
RTX 5060 8GB,OPT-350M,350m,512,original_fp16,31.1094,1111,14.849,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq512_original_fp16.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq512_original_fp16_vram.csv,
RTX 5060 8GB,OPT-350M,350m,512,oaken,31.2344,1115,23.378,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq512_oaken.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq512_oaken_vram.csv,quantizer/oaken/opt-350m.json
RTX 5060 8GB,OPT-350M,350m,1024,original_fp16,25.5469,1359,14.345,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq1024_original_fp16.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq1024_original_fp16_vram.csv,
RTX 5060 8GB,OPT-350M,350m,1024,oaken,25.6875,1363,20.030,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq1024_oaken.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq1024_oaken_vram.csv,quantizer/oaken/opt-350m.json
RTX 5060 8GB,OPT-350M,350m,2048,original_fp16,22.0156,1879,14.681,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq2048_original_fp16.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq2048_original_fp16_vram.csv,
RTX 5060 8GB,OPT-350M,350m,2048,oaken,22.1875,1915,19.434,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq2048_oaken.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-350m_seq2048_oaken_vram.csv,quantizer/oaken/opt-350m.json
RTX 5060 8GB,OPT-1.3B,1.3b,128,original_fp16,35.3750,3151,35.118,True,OK,,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-1.3b_seq128_original_fp16.log,analysis/outputs/kv_cache_pressure/rtx5060/logs/opt-1.3b_seq128_original_fp16_vram.csv,
