model,gpu,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max
OPT-1.3B,RTX 5060,0,key,0,-1.935138242464539,2.013720356826241,3.94885859929078,2.013720356826241
OPT-1.3B,RTX 5060,0,key,1,-0.045141991148603726,0.04808250048481826,0.09322449163342199,0.04808250048481826
OPT-1.3B,RTX 5060,0,key,2,0.0014739894697852168,0.0014744096613944844,4.201916092676228e-07,0.0014744096613944844
OPT-1.3B,RTX 5060,1,key,0,-2.3167109929078014,2.303939494680851,4.6206504875886525,2.3167109929078014
OPT-1.3B,RTX 5060,1,key,1,-0.058295500193927305,0.09492135555186171,0.15321685574578903,0.09492135555186171
OPT-1.3B,RTX 5060,1,key,2,0.018295720959386082,0.018296153832834665,4.328734485824215e-07,0.018296153832834665
OPT-1.3B,RTX 5060,2,key,0,-3.261580230496454,3.1515403368794326,6.413120567375886,3.261580230496454
OPT-1.3B,RTX 5060,2,key,1,-0.10511639101285461,0.07593769046431738,0.181054081477172,0.10511639101285461
OPT-1.3B,RTX 5060,2,key,2,-0.014749351122700576,-0.014748377157441268,9.739652593078463e-07,0.014749351122700576
OPT-1.3B,RTX 5060,3,key,0,-4.202654033687943,4.221908244680851,8.424562278368793,4.221908244680851
OPT-1.3B,RTX 5060,3,key,1,-0.11269081061613476,0.08884684244791667,0.20153765306405141,0.11269081061613476
OPT-1.3B,RTX 5060,3,key,2,-0.011742071057042332,-0.011741313528507314,7.575285350183703e-07,0.011742071057042332
OPT-1.3B,RTX 5060,4,key,0,-6.5767952127659575,6.557790336879433,13.13458554964539,6.5767952127659575
OPT-1.3B,RTX 5060,4,key,1,-0.0811910426363032,0.1228308711491578,0.204021913785461,0.1228308711491578
OPT-1.3B,RTX 5060,4,key,2,0.020547474529726287,0.020548340276623448,8.657468971613735e-07,0.020548340276623448
OPT-1.3B,RTX 5060,5,key,0,-7.788037455673759,8.74257535460993,16.53061281028369,8.74257535460993
OPT-1.3B,RTX 5060,5,key,1,-0.10908973639738476,0.11910556225066489,0.22819529864804966,0.11910556225066489
OPT-1.3B,RTX 5060,5,key,2,0.004679188237968066,0.004680279721605017,1.0914836369507394e-06,0.004680279721605017
OPT-1.3B,RTX 5060,6,key,0,-9.384696365248226,8.949412677304965,18.33410904255319,9.384696365248226
OPT-1.3B,RTX 5060,6,key,1,-0.18039741245567376,0.18585334940159576,0.3662507618572695,0.18585334940159576
OPT-1.3B,RTX 5060,6,key,2,0.003677517809766404,0.0036789804485672754,1.4626388008713923e-06,0.0036789804485672754
OPT-1.3B,RTX 5060,7,key,0,-8.573692375886525,8.34485815602837,16.918550531914896,8.573692375886525
OPT-1.3B,RTX 5060,7,key,1,-0.20605641899379432,0.1905474290780142,0.3966038480718085,0.20605641899379432
OPT-1.3B,RTX 5060,7,key,2,-0.007829882574419604,-0.007828523081245152,1.3594931744520533e-06,0.007829882574419604
OPT-1.3B,RTX 5060,8,key,0,-7.868849734042553,8.15586214539007,16.024711879432623,8.15586214539007
OPT-1.3B,RTX 5060,8,key,1,-0.2313414228723404,0.17500294353945037,0.4063443664117908,0.2313414228723404
OPT-1.3B,RTX 5060,8,key,2,-0.028062482252188607,-0.028060426103307844,2.0561488807621653e-06,0.028062482252188607
OPT-1.3B,RTX 5060,9,key,0,-7.532136524822695,7.529005984042553,15.061142508865249,7.532136524822695
OPT-1.3B,RTX 5060,9,key,1,-0.21979668799867022,0.19384765625,0.41364434424867025,0.21979668799867022
