model,cache_mode,batch_size,seq_len,status,success,error_type,peak_vram_used_mib,throughput_tokens_per_sec,final_cache_seq_len,theoretical_dynamic_kv_mib
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,1,1024,OK,True,,3439.0,2097.012285,1024,28.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,1,2048,OK,True,,3483.0,7096.237227,2048,56.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,1,4096,OK,True,,3591.0,6077.88335,4096,112.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,1,8192,OK,True,,3829.0,4689.208961,8192,224.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,1,12288,OK,True,,4201.0,3814.610884,12288,336.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,1,16384,OK,True,,4717.0,3211.90788,16384,448.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,2,1024,OK,True,,3497.0,9237.546948,1024,56.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,2,2048,OK,True,,3605.0,8354.500858,2048,112.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,2,4096,OK,True,,3843.0,6948.355557,4096,224.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,2,8192,OK,True,,4731.0,5180.242476,8192,448.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,2,12288,OK,True,,6195.0,4127.631846,12288,672.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,2,16384,OK,True,,7671.0,3425.440793,16384,896.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,4,1024,OK,True,,3501.0,10190.168799,1024,112.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,4,2048,OK,True,,3839.0,9054.562626,2048,224.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,4,4096,OK,True,,4727.0,7444.447492,4096,448.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,4,8192,OK,True,,7667.0,5455.953992,8192,896.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,4,12288,OK,True,,7677.0,4307.827641,12288,1344.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,4,16384,OK,True,,7677.0,3556.627274,16384,1792.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,8,1024,OK,True,,3841.0,10587.214804,1024,224.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,8,2048,OK,True,,4449.0,9462.685199,2048,448.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,8,4096,OK,True,,6817.0,7850.542316,4096,896.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,8,8192,OK,True,,7665.0,5831.78558,8192,1792.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,8,12288,OOM,False,CUDA_OOM,7699.0,,12288,2688.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,dynamic,8,16384,OOM,False,CUDA_OOM,7699.0,,12288,3584.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,no_cache,8,12288,OK,True,,3475.0,11787.971625,0,2688.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,no_cache,8,16384,OK,True,,3475.0,11768.805474,0,3584.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,quantized,8,12288,OK,True,,5903.0,850.671887,12288,2688.0
/home/ssu/models/Qwen2.5-1.5B-Instruct,quantized,8,16384,OK,True,,6795.0,647.77001,16384,3584.0
