timestamp, index, name, memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W]
2026/05/09 23:58:21.068, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.04
2026/05/09 23:58:21.575, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.04
2026/05/09 23:58:22.076, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.04
2026/05/09 23:58:22.576, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.17
2026/05/09 23:58:23.076, 0, NVIDIA GeForce RTX 5060, 351, 7350, 8151, 7.34
2026/05/09 23:58:23.576, 0, NVIDIA GeForce RTX 5060, 3067, 4634, 8151, 9.69
2026/05/09 23:58:24.076, 0, NVIDIA GeForce RTX 5060, 3067, 4634, 8151, 19.36
2026/05/09 23:58:24.577, 0, NVIDIA GeForce RTX 5060, 3067, 4634, 8151, 28.07
2026/05/09 23:58:25.077, 0, NVIDIA GeForce RTX 5060, 3067, 4634, 8151, 27.16
2026/05/09 23:58:25.577, 0, NVIDIA GeForce RTX 5060, 3067, 4634, 8151, 27.16
2026/05/09 23:58:26.077, 0, NVIDIA GeForce RTX 5060, 3067, 4634, 8151, 26.24
2026/05/09 23:58:26.578, 0, NVIDIA GeForce RTX 5060, 3067, 4634, 8151, 26.24
2026/05/09 23:58:27.078, 0, NVIDIA GeForce RTX 5060, 3067, 4634, 8151, 20.80
2026/05/09 23:58:27.578, 0, NVIDIA GeForce RTX 5060, 3067, 4634, 8151, 20.80
2026/05/09 23:58:28.079, 0, NVIDIA GeForce RTX 5060, 3067, 4634, 8151, 20.79
2026/05/09 23:58:28.579, 0, NVIDIA GeForce RTX 5060, 3147, 4554, 8151, 20.79
2026/05/09 23:58:29.079, 0, NVIDIA GeForce RTX 5060, 3497, 4204, 8151, 23.61
2026/05/09 23:58:29.579, 0, NVIDIA GeForce RTX 5060, 4093, 3608, 8151, 50.62
2026/05/09 23:58:30.079, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 114.75
2026/05/09 23:58:30.580, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 121.83
2026/05/09 23:58:31.080, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 122.44
2026/05/09 23:58:31.580, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 122.85
2026/05/09 23:58:32.080, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 123.01
2026/05/09 23:58:32.580, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 123.08
2026/05/09 23:58:33.081, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 122.99
2026/05/09 23:58:33.581, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 123.07
2026/05/09 23:58:34.082, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 123.19
2026/05/09 23:58:34.582, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 123.47
2026/05/09 23:58:35.082, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 123.54
2026/05/09 23:58:35.582, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 123.74
2026/05/09 23:58:36.082, 0, NVIDIA GeForce RTX 5060, 4489, 3212, 8151, 123.59
